names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Lesley Ugochukwu,Rennes,19,26,1597,1.7,1,1.2,0,0.7,0.3,0,6.48,0,1,0.2,0.1,0.5,0.5,0,0.5,0.5,29,87,0,1.5,0,0.8,0
Brennan Johnson,Nottingham Forest,21,44,3287,0.6,0.1,0.9,0,0,0,0,6.55,12,3,1.7,0.7,1,0.6,0.5,0.7,1.9,12.6,64.3,0.2,0.2,0,0.4,3
Marvin Plattenhardt,Hertha Berlin,31,26,2091,1.5,0.5,0.7,0.1,2,0.3,0,6.61,1,3,0.4,1.2,0.2,1.2,0,0.3,0.6,27.5,74.6,1.3,1.3,0,0.5,2
Bruno Amione,Sampdoria,21,21,1572,2.2,1,1,0.7,2.3,0.5,0,6.48,0,1,0.4,0.1,0.1,0.5,0,0.1,0.8,39.8,78.6,0.1,1.2,0,2.8,0
Adama Traoré,Wolves,27,33,1482,0.4,0.1,0.4,0,0.3,0,0,6.55,3,1,0.6,0.8,1.4,1.2,0.2,0.8,1.8,13.6,73.6,0.7,0.3,0.1,1.2,0
Omar Colley,Sampdoria,30,26,1835,1.1,1.5,1,0.8,4.5,0.4,0,6.62,2,0,0.3,0.1,0.1,1,0,0.1,0.3,46.1,86.8,0,2.5,0,2,0
Alexis Saelemaekers,AC Milan,23,28,1284,1.1,0.5,0.9,0,0.3,0,0,6.60,3,2,0.9,0.7,0.9,0.7,0,0.7,1.3,17.4,80.8,0.4,0.4,0,0.4,3
Christian Groß,Werder Bremen,34,21,1525,2.1,0.9,2.1,0,1.6,0.2,0,6.51,1,0,0.1,0.2,0.5,0.7,0,0.3,0.7,33.9,82.2,0.1,1.4,0,1,0
Crysencio Summerville,Leeds,21,25,1193,1.2,0.3,0.8,0,0.3,0.1,0,6.54,4,2,1.1,0.5,0.9,1.5,0.3,1.4,1.8,16.1,78.2,0.1,0.3,0,0.2,0
Ruan,Sassuolo,23,15,1108,1.8,0.9,1.1,0.7,3.8,0.8,0,6.51,0,0,0.3,0,0.1,0.6,0,0.3,0.2,38.5,88.7,0,1.8,0,2.7,0
Brian Ocampo,Cadiz,23,18,1129,1,0.2,1.8,0,0.1,0,0,6.51,1,1,0.7,0.9,1.1,1.5,0.1,1.6,1.7,18.1,78.2,0.8,0.7,0,0.4,1
Julian Weigl,Borussia M.Gladbach,27,20,1324,1.7,0.7,1,0.1,1.1,0.1,0,6.50,0,0,0.4,0.2,0.3,1,0,0.1,0.2,47.2,89.3,0,1.8,0.1,0.8,0
Josh Doig,Verona,20,21,1314,0.9,0.5,0.7,0,0.5,0.3,0,6.51,2,3,0.9,0.5,1.1,0.3,0.1,0.8,1.6,16.8,70.2,0.5,0.7,0,0.7,0
Jordan Henderson,Liverpool,32,40,2281,0.9,0.7,0.6,0,0.3,0.1,0,6.58,1,3,0.5,0.8,0.2,0.3,0.1,0.2,0.4,43.2,83,0.3,2.1,0.2,0.3,0
Mehdi Bourabia,Spezia,31,29,2258,1.2,0.9,1,0,1.5,0.4,0,6.51,0,2,0.8,1,0.8,0.6,0,0.8,1.6,34.9,79.9,0.4,1.4,0.1,0.6,0
Evann Guessand,Nantes,21,39,1553,0.7,0.4,1.1,0,0.1,0,0,6.50,4,2,0.8,0.3,1.4,0.7,0.2,0.9,1.6,9.3,70.5,0.1,0.2,0,1,1
Marcos Senesi,Bournemouth,25,28,2216,1.7,1.3,1,0.3,4.4,0.7,0,6.51,2,0,0.2,0.2,0.2,0.5,0,0.1,0.5,40.6,80.8,0.1,3.7,0,0.9,1
Théo Le Bris,Lorient,20,22,1267,1.3,0.7,0.2,0,0.8,0,0,6.51,2,1,0.5,0.5,0.6,0.1,0,0.3,0.9,21.4,81.5,0.1,0.2,0,0.4,0
Adama Soumaoro,Bologna,30,19,1596,1.1,0.8,0.9,0.5,3.1,0.6,0,6.51,0,0,0.1,0.1,0.1,0.4,0,0.1,0.3,46.2,93.3,0,1.8,0,1.4,0
Joe Scally,Borussia M.Gladbach,20,26,2055,1.2,0.3,0.5,0.3,1.9,0.2,0,6.51,1,0,0.2,0.6,0.4,1.9,0.1,0.5,0.8,33.6,77.5,0.6,1.2,0,0.8,0
Javi Hernández,Girona,24,16,800,1,0.3,0.4,0.3,1.5,0.2,0,6.51,1,2,0.5,0.4,0.4,0.8,0.1,0.4,0.3,27.4,83.6,0.3,1,0,0.6,0
Joel Ward,Crystal Palace,33,22,1702,1.6,1,1,0.3,3,0.6,0,6.53,0,0,0.1,0.1,0.2,0.3,0.1,0.3,0.8,32.9,74.8,0.1,1.2,0,1.8,0
Silvan Widmer,Mainz,30,34,2297,1.2,1.3,0.6,0.2,1.5,0.2,0,6.64,3,3,0.7,0.5,0.3,0.6,0.1,0.5,1,29.8,74.8,0.3,0.8,0,0.6,0
